emp_no,first_name,last_name,title,dept_no,dept_name
10001,Georgi,Facello,Senior Engineer,d005,Development
10004,Chirstian,Koblick,Senior Engineer,d004,Production
10005,Kyoichi,Maliniak,Senior Staff,d003,Human Resources
10006,Anneke,Preusig,Senior Engineer,d005,Development
10009,Sumant,Peac,Senior Engineer,d006,Quality Management
10018,Kazuhide,Peha,Senior Engineer,d004,Production
10019,Lillian,Haddadi,Staff,d008,Research
10020,Mayuko,Warwick,Engineer,d004,Production
10022,Shahaf,Famili,Engineer,d005,Development
10023,Bojan,Montemayor,Engineer,d005,Development
10026,Yongqiao,Berztiss,Senior Engineer,d004,Production
10035,Alain,Chappelet,Senior Engineer,d004,Production
10047,Zvonko,Nyanchama,Senior Engineer,d004,Production
10051,Hidefumi,Caine,Senior Engineer,d004,Production
10053,Sanjiv,Zschoche,Senior Staff,d007,Sales
10057,Ebbe,Callaway,Senior Engineer,d005,Development
10058,Berhard,McFarlin,Senior Staff,d001,Marketing
10059,Alejandro,McAlpine,Senior Staff,d002,Finance
10063,Gino,Leonhardt,Senior Engineer,d004,Production
10066,Kwee,Schusler,Senior Engineer,d005,Development
10067,Claudi,Stavenow,Senior Engineer,d006,Quality Management
10070,Reuven,Garigliano,Technique Leader,d005,Development
10072,Hironoby,Sidou,Senior Engineer,d005,Development
10074,Mokhtar,Bernatsky,Technique Leader,d005,Development
10076,Erez,Ritzmann,Senior Engineer,d005,Development
10088,Jungsoon,Syrzycki,Senior Staff,d009,Customer Service
10091,Amabile,Gomatam,Senior Engineer,d005,Development
10096,Jayson,Mandell,Engineer,d004,Production
10097,Remzi,Waschkowski,Senior Staff,d008,Research
10100,Hironobu,Haraldson,Senior Staff,d003,Human Resources
10103,Akemi,Birch,Engineer,d005,Development
10106,Eben,Aingworth,Senior Engineer,d004,Production
10126,Kayoko,Valtorta,Senior Staff,d009,Customer Service
10127,Subir,Baja,Senior Engineer,d005,Development
10129,Armond,Peir,Technique Leader,d005,Development
10130,Nishit,Casperson,Senior Engineer,d004,Production
10134,Diederik,Siprelle,Senior Engineer,d004,Production
10138,Perry,Shimshoni,Senior Engineer,d006,Quality Management
10150,Zhenbing,Perng,Senior Engineer,d005,Development
10153,Heekeun,Majewski,Assistant Engineer,d005,Development
10157,Nigel,Aloisi,Senior Engineer,d005,Development
10159,Serif,Buescher,Senior Engineer,d006,Quality Management
10160,Debatosh,Khasidashvili,Senior Staff,d007,Sales
10163,Karsten,Szmurlo,Senior Staff,d003,Human Resources
10166,Samphel,Siegrist,Engineer,d005,Development
10183,Mechthild,Bonifati,Staff,d009,Customer Service
10194,Josyula,Hofmeyr,Senior Staff,d002,Finance
10196,Marc,Hellwagner,Staff,d002,Finance
10198,Pranav,Furedi,Senior Engineer,d005,Development
10203,Steen,Escriba,Senior Staff,d008,Research
10205,Mabhin,Leijenhorst,Senior Engineer,d004,Production
10207,Girolamo,Anandan,Senior Engineer,d005,Development
10215,Xiaobin,Duclos,Senior Staff,d007,Sales
10219,Genta,Kolvik,Senior Staff,d005,Development
10224,Leon,Trogemann,Senior Engineer,d004,Production
10228,Karoline,Cesareni,Senior Staff,d001,Marketing
10230,Clyde,Vernadat,Senior Staff,d008,Research
10233,Lein,Vendrig,Senior Staff,d003,Human Resources
10239,Nikolaos,Llado,Staff,d001,Marketing
10240,Remko,Maccarone,Engineer,d006,Quality Management
10248,Frederique,Tempesti,Senior Staff,d007,Sales
10249,Marie,Boreale,Senior Engineer,d005,Development
10258,Basil,Ishibashi,Senior Engineer,d005,Development
10262,Mahendra,Maraist,Staff,d007,Sales
10272,Yishai,Cannane,Staff,d002,Finance
10281,Moty,Kusakari,Senior Engineer,d006,Quality Management
